region,state,semana_ref,chuva_media_semanal,temperatura_media,umidade_media,vento_medio,pressao_media,radiacao_media
N,AC,2016-03-07,39.285713,25.679062,86.111115,1.2377976,988.0258,1173.7217
N,AC,2016-03-14,29.199999,25.894474,86.16071,1.1457342,988.51575,1204.081
N,AC,2016-03-21,19.485714,25.667562,87.11091,1.0970289,988.5084,1110.1703
N,AC,2016-03-28,31.685713,25.79345,87.61191,0.98880947,989.36255,1255.5675
N,AC,2016-04-04,15.942858,26.576792,85.75238,0.9005996,987.6352,1430.2777
N,AC,2016-04-11,25.200003,26.00268,87.065475,1.0390698,987.52344,1221.081
N,AC,2016-04-18,8.085714,26.485413,85.19643,1.017976,987.9189,1380.2622
N,AC,2016-04-25,6.6285715,23.325338,79.48096,1.5138098,989.4405,1241.0017
N,AC,2016-05-02,10.342856,25.230852,82.01667,0.8730952,989.59686,1314.2345
N,AC,2016-05-09,26.771425,25.72004,86.55476,0.98319876,989.5796,1149.2174
N,AC,2016-05-16,21.742859,25.033136,88.21666,1.0360714,990.1226,956.9599
N,AC,2016-05-23,1.5142858,23.601007,84.723114,1.2715518,991.95435,995.4532
N,AC,2016-05-30,4.7999997,25.11435,85.5414,1.000256,988.30817,1182.8545
N,AC,2016-06-06,13.314286,23.235098,85.81035,1.3955629,992.6628,937.5258
N,AC,2016-06-13,0.4,23.235077,80.32671,0.9020063,992.64417,1288.7699
N,AC,2016-06-20,0.2857143,23.488255,78.24096,0.97470224,990.73206,1336.3065
N,AC,2016-06-27,5.9142866,23.290266,80.46875,0.8927083,991.0,1222.7919
N,AC,2016-07-04,4.228572,24.551315,81.66072,0.8123511,990.52527,1166.3147
N,AC,2016-07-11,4.571429,26.227463,78.87649,0.9446428,988.07947,1414.8721
N,AC,2016-07-18,0.114285715,23.859867,73.11834,0.83191633,990.2287,1472.168
N,AC,2016-07-25,0.14285715,25.58514,71.644264,0.8517393,988.07275,1386.2592
N,AC,2016-08-01,0.40000004,26.40191,69.70833,0.83407736,988.55927,1293.4379
N,AC,2016-08-08,10.2,24.512589,76.41953,1.0362768,989.17267,1087.6378
N,AC,2016-08-15,12.342858,26.35384,76.03016,0.946723,987.2543,1172.7998
N,AC,2016-08-22,5.857143,24.771671,71.347,0.9298704,989.0332,1351.0281
N,AC,2016-08-29,12.057143,24.136839,77.27192,1.2026706,989.13983,1027.4421
N,AC,2016-09-05,0.057142857,24.733122,69.229034,1.024837,990.72034,1381.3114
N,AC,2016-09-12,9.3714285,26.027622,77.52077,1.0466546,987.4834,1104.9352
N,AC,2016-09-19,26.742859,25.218067,79.41303,1.1126039,989.7753,1149.6287
N,AC,2016-09-26,16.485716,26.553009,77.790855,1.1208586,987.10925,1419.9856
N,AC,2016-10-03,41.942852,25.72109,80.38717,1.1589375,986.2326,1207.1222
N,AC,2016-10-10,15.142858,26.344957,79.84999,1.1052064,987.05164,1386.4952
N,AC,2016-10-17,23.971426,26.997593,77.42865,1.069599,986.1254,1458.5286
N,AC,2016-10-24,34.028572,25.901766,77.174805,1.4115314,986.5855,1347.712
N,AC,2016-10-31,23.399998,25.803427,78.17783,1.4115113,987.87445,1291.8451
N,AC,2016-11-07,30.285715,27.046877,81.740326,1.320568,985.278,1380.843
N,AC,2016-11-14,15.828572,26.682392,79.28861,1.7502058,983.4859,1488.695
N,AC,2016-11-21,5.514286,27.525866,77.8139,1.2326976,984.793,1610.2142
N,AC,2016-11-28,35.771427,26.704535,82.29632,1.3258798,986.9194,1414.7379
N,AC,2016-12-05,42.828564,26.579802,81.06634,1.4601076,986.22003,1522.3318
N,AC,2016-12-12,34.914284,26.491333,82.88973,1.4572161,986.4776,1434.0139
N,AC,2016-12-19,18.942858,26.741468,81.56844,1.6738375,984.9698,1530.832
N,AC,2016-12-26,59.971416,26.3613,83.21131,1.4591328,986.41846,1407.2626
N,AC,2017-01-02,43.8,25.830286,84.690254,1.2287065,987.1842,1447.259
N,AC,2017-01-09,45.0,26.010023,85.639336,1.3328536,986.1099,1473.8164
N,AC,2017-01-16,19.71429,25.574831,86.66166,1.3508464,985.9301,1306.6638
N,AC,2017-01-23,53.514282,25.998734,84.91112,1.0192895,987.4258,1521.1626
N,AC,2017-01-30,20.485712,26.928854,69.02518,1.8029474,986.2409,1765.734
N,AC,2017-02-06,17.371428,26.099167,83.4631,1.4328573,985.37317,1348.2561
N,AC,2017-02-13,19.6,26.018808,81.08691,1.2916666,986.7803,1320.0043
N,AC,2017-02-20,35.885708,25.815615,73.45219,1.488988,986.29144,1407.7662
N,AC,2017-02-27,26.771427,26.800947,70.13763,1.6079825,985.29224,1500.6149
N,AC,2017-03-06,25.199999,25.724316,84.07096,1.3226433,986.24054,1388.7118
N,AC,2017-03-13,52.371426,24.412354,87.13095,1.069494,987.1915,1077.4796
N,AC,2017-03-20,21.857143,25.197765,85.83035,0.6961309,987.7213,1196.1217
N,AC,2017-03-27,14.514288,25.554314,85.80208,0.8739584,987.06506,1330.3527
N,AC,2017-04-03,10.371429,25.697699,84.99263,1.1162757,986.3141,1264.2876
N,AC,2017-04-10,24.771427,24.766582,86.19643,0.94586754,987.9649,1144.1846
N,AC,2017-04-17,36.45714,25.051594,87.38785,0.9066424,987.2876,1165.3184
N,AC,2017-04-24,13.400001,24.462471,82.87232,1.4371207,989.06433,1230.9795
N,AC,2017-05-01,1.542857,25.919657,82.91117,0.86272883,987.9236,1281.0824
N,AC,2017-05-08,5.4857144,26.820902,79.90852,0.82212245,987.69806,1647.9396
N,AC,2017-05-15,10.628572,26.228613,83.71917,0.99238396,986.44135,1185.348
N,AC,2017-05-22,5.8857145,25.692421,85.03858,0.66169906,989.4504,1064.6107
N,AC,2017-05-29,0.057142857,23.890282,82.30355,1.383383,991.4263,1074.8752
N,AC,2017-06-05,0.114285715,23.989801,83.56439,0.9838359,988.73706,1106.6654
N,AC,2017-06-12,0.0,24.647326,80.422615,0.7025902,989.0721,1351.5637
N,AC,2017-06-19,6.6857142,24.746399,63.53787,0.85829407,988.8694,1651.8685
N,AC,2017-06-26,0.14285715,26.502172,63.988987,1.4116666,988.9689,1795.5153
N,AC,2017-07-03,5.1714287,25.947857,61.561325,1.017065,990.47876,1997.4897
N,AC,2017-07-10,0.0,26.300493,69.73187,1.0361248,989.70953,2091.175
N,AC,2017-07-17,0.54285717,23.344797,63.905437,1.5870528,991.869,1730.197
N,AC,2017-07-24,0.0,28.25384,62.455997,1.0465102,989.0563,1601.7413
N,AC,2017-07-31,0.0,27.516098,63.87885,1.2297801,989.2121,1414.8142
N,AC,2017-08-07,0.028571429,29.450191,68.081,1.408662,986.13324,1260.0211
N,AC,2017-08-14,5.9428573,26.366098,74.40749,1.2409393,986.8584,1389.5863
N,AC,2017-08-21,1.1999999,26.62976,65.290504,1.4163164,988.2719,1645.5225
N,AC,2017-08-28,12.257143,27.241186,72.51411,1.0550963,989.6302,1483.2455
N,AC,2017-09-04,26.800001,26.195267,77.46931,1.0482781,987.56866,1382.6993
N,AC,2017-09-11,29.514282,25.542421,78.489845,1.3536011,989.2242,1384.082
N,AC,2017-09-18,18.742859,25.418367,77.33929,0.883155,988.5728,1282.449
N,AC,2017-09-25,25.628572,25.5676,82.06207,1.1108015,987.0635,1366.947
N,AC,2017-10-02,6.971429,26.22755,77.12245,1.4402211,986.91583,1524.1569
N,AC,2017-10-09,24.542858,26.03716,76.84438,1.2540816,986.23737,1358.8407
N,AC,2017-10-16,39.514286,25.970436,80.655754,1.021515,987.77545,1323.7567
N,AC,2017-10-23,18.199999,25.592367,82.594246,1.1281391,987.134,1372.5602
N,AC,2017-10-30,22.542858,26.025795,80.20437,1.2555555,985.89264,1454.6376
N,AC,2017-11-06,67.11429,25.188887,86.083336,1.0187751,985.37445,1144.2705
N,AC,2017-11-13,22.77143,25.664583,84.7877,1.1751304,984.84406,1301.2966
N,AC,2017-11-20,23.999998,26.195335,83.166664,1.1064483,985.88837,1388.398
N,AC,2017-11-27,47.02857,25.687231,85.256676,1.1988193,985.4561,1218.015
N,AC,2017-12-04,36.085712,25.840378,84.042656,1.1515874,986.0164,1292.9604
N,AC,2017-12-11,20.142857,26.031942,82.21726,1.1315928,986.1114,1308.7578
N,AC,2017-12-18,33.77143,25.112404,85.281746,1.2955632,986.42285,1178.4325
N,AC,2017-12-25,40.6,24.876787,86.79563,1.1208676,986.77203,1387.078
N,AC,2018-01-01,27.142857,25.240873,85.15774,1.1678166,987.3123,1584.5293
N,AC,2018-01-08,42.628574,24.445837,86.64187,1.1054564,987.68604,1449.5475
N,AC,2018-01-15,32.771427,24.425097,87.1141,1.0075396,988.4302,1294.0448
N,AC,2018-01-22,16.314281,25.841774,82.79571,1.1852306,985.7531,1358.6302
N,AC,2018-01-29,17.228573,26.23181,84.472885,1.0084082,984.45483,1350.0446
N,AC,2018-02-05,24.914286,25.941864,84.8512,1.0484886,985.7197,1287.6315
N,AC,2018-02-12,28.285717,24.630281,87.82906,0.94101954,988.2159,1307.7307
N,AC,2018-02-19,23.0,24.600197,87.72123,1.0094048,987.113,1150.4261
N,AC,2018-02-26,29.22857,25.18927,85.97708,0.8894803,987.2989,1441.889
N,AC,2018-03-05,20.857143,25.38057,86.05665,0.9529761,987.112,1133.3314
N,AC,2018-03-12,20.91429,25.683811,86.38452,1.0090582,987.4261,1250.0107
N,AC,2018-03-19,19.4,25.201311,86.10714,0.9396429,987.3221,1276.5881
N,AC,2018-03-26,21.91429,24.078548,86.92332,0.99705297,988.29767,1069.6078
N,AC,2018-04-02,20.514286,25.068644,86.952065,0.9240367,987.3494,1150.247
N,AC,2018-04-09,23.542856,25.438868,84.56151,1.1464521,989.0632,1103.4418
N,AC,2018-04-16,14.714286,25.04092,84.55259,0.9729762,990.84064,1257.6143
N,AC,2018-04-23,31.885715,25.898464,84.55651,0.82778656,989.9625,1299.1394
N,AC,2018-04-30,21.885712,25.223618,86.91617,0.8343007,990.59656,1154.2654
N,AC,2018-05-07,28.942856,24.632381,88.1381,1.023996,990.99054,912.59656
N,AC,2018-05-14,36.257137,24.083807,86.23333,1.0440476,989.96875,1011.08466
N,AC,2018-05-21,0.028571429,24.164454,79.75929,1.016619,991.7167,1390.0149
N,AC,2018-05-28,15.085714,24.87584,85.63604,0.9874447,989.708,1041.602
N,AC,2018-06-04,0.31428573,22.032095,83.9166,0.9859289,992.764,977.68066
N,AC,2018-06-11,0.14285715,23.50253,80.07455,1.2495887,993.654,1135.7191
N,AC,2018-06-18,0.7428571,24.035244,76.263596,0.83182955,993.138,1458.8502
N,AC,2018-06-25,0.08571429,26.197504,75.825516,0.71320575,989.60876,1508.1113
N,AC,2018-07-02,0.08571429,26.721848,73.12535,0.6794554,989.4955,1512.152
N,AC,2018-07-09,5.6571426,23.891356,72.33806,1.197179,993.1953,1415.115
N,AC,2018-07-16,7.2571425,25.196682,78.509964,0.9501815,990.7311,1283.1874
N,AC,2018-07-23,0.028571429,24.812805,68.8351,1.0531714,992.45245,1680.3239
N,AC,2018-07-30,13.542859,24.660734,83.748276,0.920694,988.6841,1575.7662
N,AC,2018-08-06,5.2000003,24.27168,77.30412,1.0472591,992.82306,1278.0696
N,AC,2018-08-13,9.685715,25.783222,75.866104,0.95696884,990.13525,1351.0254
N,AC,2018-08-20,21.114286,23.273634,77.771034,1.4859282,992.1657,1081.1205
N,AC,2018-08-27,12.314286,25.5856,70.521095,1.0561618,989.0707,1158.7623
N,AC,2018-09-03,1.9714286,24.131208,66.60411,1.3315475,989.44745,1329.3837
N,AC,2018-09-10,22.685715,26.085392,77.55564,1.0515305,986.3185,1102.3767
N,AC,2018-09-17,9.114285,26.430052,76.43676,1.2280198,986.7104,1181.1232
N,AC,2018-09-24,27.542858,26.470139,77.78521,1.1845437,985.9584,1131.1036
N,AC,2018-10-01,39.54286,25.740677,81.107254,1.2270238,987.11676,1025.6735
N,AC,2018-10-08,77.94286,25.522724,83.58586,1.1057765,987.0666,981.34296
N,AC,2018-10-15,19.057142,26.581171,79.57097,1.1920366,985.0703,1256.9286
N,AC,2018-10-22,36.571434,25.544712,84.465385,1.0053152,985.93896,980.2126
N,AC,2018-10-29,22.714289,26.207645,81.7776,1.2415406,986.1352,1139.0577
N,AC,2018-11-05,47.228565,25.03287,86.972694,1.1344968,985.3536,752.7664
N,AC,2018-11-12,50.714283,25.601128,87.315544,0.9194439,985.5983,919.6648
