country,semana,total_registros,latitude,longitude,temperature_celsius,wind_kph,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,uv_index
Argentina,2024-05-12T00:00:00Z,4,-34.59,-58.67,10.5,9.75,30.075,0.0025,79.5,6.25,9.45,3.25
Argentina,2024-05-19T00:00:00Z,7,-34.59,-58.67,11.142857142857142,14.357142857142858,30.184285714285714,0,68.42857142857143,28.571428571428573,9.985714285714286,4.571428571428571
Argentina,2024-05-26T00:00:00Z,7,-34.59,-58.67,12.428571428571429,9.27142857142857,30.252857142857142,0.0014285714285714286,81.57142857142857,78.57142857142857,11.714285714285714,4.571428571428571
Argentina,2024-06-02T00:00:00Z,7,-34.59,-58.67,13.67142857142857,12.014285714285714,30.132857142857144,0.02142857142857143,82.28571428571429,0,12.957142857142857,5
Argentina,2024-06-09T00:00:00Z,7,-34.59,-58.67,18.257142857142856,14.514285714285714,29.824285714285715,0.10142857142857142,74.14285714285714,17.857142857142858,18.37142857142857,6
Argentina,2024-06-16T00:00:00Z,7,-34.59,-58.67,15.028571428571428,10.714285714285714,29.924285714285713,0.06999999999999999,87.57142857142857,61.142857142857146,14.67142857142857,4.714285714285714
Argentina,2024-06-23T00:00:00Z,7,-34.59,-58.67,7.957142857142857,14.142857142857142,30.087142857142858,0,74.71428571428571,5.714285714285714,5.585714285714285,4
Argentina,2024-06-30T00:00:00Z,7,-34.59,-58.67,5.5285714285714285,8.5,30.15,0,72.28571428571429,0,3.585714285714286,3.5714285714285716
Argentina,2024-07-07T00:00:00Z,7,-34.59,-58.67,2.9285714285714284,6.057142857142857,30.412857142857142,0,82.42857142857143,17.857142857142858,1.5714285714285714,3.2857142857142856
Argentina,2024-07-14T00:00:00Z,7,-34.59,-58.67,8.571428571428571,10.2,30.33142857142857,0,87.14285714285714,16.285714285714285,7.4,4
Argentina,2024-07-21T00:00:00Z,4,-34.59,-58.67,12.3,7.475,30.0675,0,72.25,23.5,11.9,5
Argentina,2024-07-28T00:00:00Z,7,-34.59,-58.67,11.614285714285714,13.257142857142856,30.065714285714286,0.16142857142857142,73.28571428571429,29.571428571428573,10.514285714285714,4.571428571428571
Argentina,2024-08-04T00:00:00Z,7,-34.59,-58.67,8.82857142857143,12.200000000000001,30.04714285714286,0.030000000000000002,76.42857142857143,47.57142857142857,6.8428571428571425,3.857142857142857
Argentina,2024-08-11T00:00:00Z,7,-34.59,-58.67,9.3,12.414285714285715,30.13714285714286,0,69.71428571428571,29.571428571428573,7.642857142857142,4.285714285714286
Argentina,2024-08-18T00:00:00Z,7,-34.59,-58.67,8.771428571428572,12.814285714285715,30.102857142857143,0.2042857142857143,96.42857142857143,71.42857142857143,6.828571428571428,3.857142857142857
Argentina,2024-08-25T00:00:00Z,7,-34.59,-58.67,8.72857142857143,9.785714285714285,30.295714285714286,0.5128571428571428,100,25,7.214285714285714,4.428571428571429
Argentina,2024-09-01T00:00:00Z,7,-34.59,-58.67,8.957142857142857,12.714285714285714,30.042857142857144,0,89,28.571428571428573,7.814285714285714,4.428571428571429
Argentina,2024-09-08T00:00:00Z,7,-34.59,-58.67,13.67142857142857,9.142857142857142,30.025714285714287,0.025714285714285714,83.28571428571429,14.285714285714286,13.228571428571428,4.857142857142857
Argentina,2024-09-15T00:00:00Z,7,-34.59,-58.67,13.17142857142857,11.042857142857143,30.022857142857145,0,75.85714285714286,0,12.471428571428572,5
Argentina,2024-09-22T00:00:00Z,7,-34.59,-58.67,12.642857142857142,13.428571428571429,29.954285714285714,0.037142857142857144,79.14285714285714,14.285714285714286,11.442857142857143,2.142857142857143
Argentina,2024-09-29T00:00:00Z,7,-34.588928571428575,-58.67107142857143,12.285714285714286,9.771428571428572,29.97714285714286,0,79.14285714285714,0,11.542857142857143,1
Argentina,2024-10-06T00:00:00Z,7,-34.5875,-58.6725,14.957142857142857,9.971428571428572,30.014285714285716,0.002857142857142857,83.28571428571429,55,14.82857142857143,0.42857142857142855
Argentina,2024-10-13T00:00:00Z,7,-34.5875,-58.6725,15.214285714285714,7.857142857142857,30.05142857142857,0.0642857142857143,89.71428571428571,32.142857142857146,15.071428571428571,0
Argentina,2024-10-20T00:00:00Z,7,-34.5875,-58.6725,16.114285714285714,13.1,29.81,0.04428571428571428,84.71428571428571,35.714285714285715,15.685714285714285,0.5714285714285714
Argentina,2024-10-27T00:00:00Z,7,-34.5875,-58.6725,17.52857142857143,8.085714285714285,29.925714285714285,0.15857142857142859,88.71428571428571,14.285714285714286,17.87142857142857,1
Argentina,2024-11-03T00:00:00Z,7,-34.5875,-58.6725,15.471428571428572,10.614285714285714,30.001428571428573,0,88.71428571428571,35.714285714285715,15.285714285714286,0
Argentina,2024-11-10T00:00:00Z,7,-34.5875,-58.6725,16.385714285714286,10.128571428571428,29.85,0,77.28571428571429,10.714285714285714,16.642857142857142,0
Argentina,2024-11-17T00:00:00Z,7,-34.5875,-58.6725,17.228571428571428,13.071428571428571,30.055714285714284,0.04,77.71428571428571,14.285714285714286,17.02857142857143,0
Argentina,2024-11-24T00:00:00Z,7,-34.5875,-58.6725,20.8,10.5,29.834285714285713,0.03,88.42857142857143,35.714285714285715,21.5,0.24285714285714285
Argentina,2024-12-01T00:00:00Z,7,-34.5875,-58.6725,15.842857142857143,12.914285714285715,29.830000000000002,0.01,76.85714285714286,35.714285714285715,15.385714285714286,0.4142857142857143
Argentina,2024-12-08T00:00:00Z,7,-34.5875,-58.6725,18.385714285714286,12.128571428571428,29.935714285714287,0.04285714285714286,77.85714285714286,17.857142857142858,18.65714285714286,1.0285714285714285
